hotel_id,room_option_id,season_code,start_date,end_date,day_type,cost_sar,hb_cost_sar,fb_cost_sar,bb_upgrade_sar,hb_upgrade_sar,fb_upgrade_sar,unique_key
AJM,AJM_STD_CITY_2P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,565,765,965,0,200,400,AJMAJM_STD_CITY_2PAJM_REG_OCTDECWEEKDAY
AJM,AJM_STD_CITY_2P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,615,815,1015,0,200,400,AJMAJM_STD_CITY_2PAJM_REG_OCTDECWEEKEND
AJM,AJM_DLX_HARAM_2P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,665,865,1065,0,200,400,AJMAJM_DLX_HARAM_2PAJM_REG_OCTDECWEEKDAY
AJM,AJM_DLX_HARAM_2P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,715,915,1115,0,200,400,AJMAJM_DLX_HARAM_2PAJM_REG_OCTDECWEEKEND
AJM,AJM_STD_CITY_3P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,655,905,1205,0,250,550,AJMAJM_STD_CITY_3PAJM_REG_OCTDECWEEKDAY
AJM,AJM_STD_CITY_3P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,705,955,1255,0,250,550,AJMAJM_STD_CITY_3PAJM_REG_OCTDECWEEKEND
AJM,AJM_STD_CITY_4P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,745,1045,1445,0,300,700,AJMAJM_STD_CITY_4PAJM_REG_OCTDECWEEKDAY
AJM,AJM_STD_CITY_4P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,795,1095,1495,0,300,700,AJMAJM_STD_CITY_4PAJM_REG_OCTDECWEEKEND
AJM,AJM_DLX_HARAM_3P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,755,1005,1305,0,250,550,AJMAJM_DLX_HARAM_3PAJM_REG_OCTDECWEEKDAY
AJM,AJM_DLX_HARAM_3P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,805,1055,1355,0,250,550,AJMAJM_DLX_HARAM_3PAJM_REG_OCTDECWEEKEND
AJM,AJM_DLX_HARAM_4P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKDAY,845,1145,1545,0,300,700,AJMAJM_DLX_HARAM_4PAJM_REG_OCTDECWEEKDAY
AJM,AJM_DLX_HARAM_4P,AJM_REG_OCTDEC,2025-10-23,2025-12-19,WEEKEND,895,1195,1595,0,300,700,AJMAJM_DLX_HARAM_4PAJM_REG_OCTDECWEEKEND
AJM,AJM_STD_CITY_2P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,510,710,910,0,200,400,AJMAJM_STD_CITY_2PAJM_REG_JANFEBWEEKDAY
AJM,AJM_STD_CITY_2P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,560,760,960,0,200,400,AJMAJM_STD_CITY_2PAJM_REG_JANFEBWEEKEND
AJM,AJM_DLX_HARAM_2P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,610,810,1010,0,200,400,AJMAJM_DLX_HARAM_2PAJM_REG_JANFEBWEEKDAY
AJM,AJM_DLX_HARAM_2P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,660,860,1060,0,200,400,AJMAJM_DLX_HARAM_2PAJM_REG_JANFEBWEEKEND
AJM,AJM_STD_CITY_3P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,600,850,1150,0,250,550,AJMAJM_STD_CITY_3PAJM_REG_JANFEBWEEKDAY
AJM,AJM_STD_CITY_3P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,650,900,1200,0,250,550,AJMAJM_STD_CITY_3PAJM_REG_JANFEBWEEKEND
AJM,AJM_STD_CITY_4P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,690,990,1390,0,300,700,AJMAJM_STD_CITY_4PAJM_REG_JANFEBWEEKDAY
AJM,AJM_STD_CITY_4P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,740,1040,1440,0,300,700,AJMAJM_STD_CITY_4PAJM_REG_JANFEBWEEKEND
AJM,AJM_DLX_HARAM_3P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,700,950,1250,0,250,550,AJMAJM_DLX_HARAM_3PAJM_REG_JANFEBWEEKDAY
AJM,AJM_DLX_HARAM_3P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,750,1000,1300,0,250,550,AJMAJM_DLX_HARAM_3PAJM_REG_JANFEBWEEKEND
AJM,AJM_DLX_HARAM_4P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKDAY,790,1090,1490,0,300,700,AJMAJM_DLX_HARAM_4PAJM_REG_JANFEBWEEKDAY
AJM,AJM_DLX_HARAM_4P,AJM_REG_JANFEB,2026-01-06,2026-02-17,WEEKEND,840,1140,1540,0,300,700,AJMAJM_DLX_HARAM_4PAJM_REG_JANFEBWEEKEND
FMT,FMT_CITY_2P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1170,,,0,,,FMTFMT_CITY_2PFRSS_OCT_DEC_2025WEEKDAY
FMT,FMT_CITY_3P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1320,,,0,,,FMTFMT_CITY_3PFRSS_OCT_DEC_2025WEEKDAY
FMT,FMT_CITY_4P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1470,,,0,,,FMTFMT_CITY_4PFRSS_OCT_DEC_2025WEEKDAY
FMT,FMT_CITY_2P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKEND,1300,,,0,,,FMTFMT_CITY_2PFRSS_OCT_DEC_2025WEEKEND
FMT,FMT_CITY_3P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKEND,1450,,,0,,,FMTFMT_CITY_3PFRSS_OCT_DEC_2025WEEKEND
FMT,FMT_CITY_4P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKEND,1600,,,0,,,FMTFMT_CITY_4PFRSS_OCT_DEC_2025WEEKEND
FMT,FMT_HARAM_2P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1250,,,0,,,FMTFMT_HARAM_2PFRSS_OCT_DEC_2025WEEKDAY
FMT,FMT_HARAM_3P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1400,,,0,,,FMTFMT_HARAM_3PFRSS_OCT_DEC_2025WEEKDAY
FMT,FMT_HARAM_4P,FRSS_OCT_DEC_2025,2025-10-01,2025-12-17,WEEKDAY,1550,,,0,,,FMTFMT_HARAM_4PFRSS_OCT_DEC_2025WEEKDAY
