room_option_id,room_type_id,hotel_id,hotel_name,display_occupancy_label,display_guest_count,website_description,base_meal_plan_included
AJM_STD_CITY_2P,AJM_STD_CITY,AJM,Anjum Hotel Makkah,Double,2,Standard City View Double  (2 single beds or one King),BB
AJM_STD_CITY_3P,AJM_STD_CITY,AJM,Anjum Hotel Makkah,Triple,3,Standard City View Double + 1 extra bed (smaller),BB
AJM_STD_CITY_4P,AJM_STD_CITY,AJM,Anjum Hotel Makkah,Quad,4,Standard City View Double + 2 extra beds (smaller),BB
AJM_DLX_HARAM_2P,AJM_DLX_HARAM,AJM,Anjum Hotel Makkah,Double,2,2 single beds (convertible to double),BB
AJM_DLX_HARAM_3P,AJM_DLX_HARAM,AJM,Anjum Hotel Makkah,Triple,3,Deluxe Haram View Double + 1 extra bed (smaller),BB
AJM_DLX_HARAM_4P,AJM_DLX_HARAM,AJM,Anjum Hotel Makkah,Quad,4,Deluxe Haram View Double + 2 extra beds (smaller),BB
FMT_CITY_2P,FMT_CITY,FMT,Makkah Clock Tower - A Fairmont Hotel,Double,2,Fairmont Room City View Double (2 guests),BB
FMT_CITY_3P,FMT_CITY,FMT,Makkah Clock Tower - A Fairmont Hotel,Triple,3,Fairmont Room City View Triple (3 guests),BB
FMT_CITY_4P,FMT_CITY,FMT,Makkah Clock Tower - A Fairmont Hotel,Quad,4,Fairmont Room City View Quad (4 guests),BB
FMT_HARAM_2P,FMT_HARAM,FMT,Makkah Clock Tower - A Fairmont Hotel,Double,2,Fairmont Room Haram View Double (2 guests),BB
FMT_HARAM_3P,FMT_HARAM,FMT,Makkah Clock Tower - A Fairmont Hotel,Triple,3,Fairmont Room Haram View Triple (3 guests),BB
FMT_HARAM_4P,FMT_HARAM,FMT,Makkah Clock Tower - A Fairmont Hotel,Quad,4,Fairmont Room Haram View Quad (4 guests),BB
FMT_KAABA_2P,FMT_KAABA,FMT,Makkah Clock Tower - A Fairmont Hotel,Double,2,Fairmont Room Kaaba View Double (2 guests),BB
FMT_KAABA_3P,FMT_KAABA,FMT,Makkah Clock Tower - A Fairmont Hotel,Triple,3,Fairmont Room Kaaba View Triple (3 guests),BB
FMT_JS_CITY_2P,FMT_JS_CITY,FMT,Makkah Clock Tower - A Fairmont Hotel,Double,2,Junior Suite City View Double (2 guests),BB
FMT_JS_CITY_3P,FMT_JS_CITY,FMT,Makkah Clock Tower - A Fairmont Hotel,Triple,3,Junior Suite City View Triple (3 guests),BB
